t,x,y,yaw
112.160,29.752993980525595,0.1977023457393584,1.5731999694800516
112.192,29.75304826658587,0.1977034843733642,1.5732207543134
112.224,29.752979863079812,0.1977080549865481,1.573290880147999
112.256,29.752931881458103,0.19770616538805566,1.5732704600977272
112.288,29.75290669469516,0.19770404677974732,1.5732360826978682
112.320,29.75293153971564,0.19770221333795363,1.573204541803459
112.352,29.752965448320293,0.19770182152623866,1.5731946686364109
112.384,29.753005087067606,0.19770194318311193,1.573190137245175
112.416,29.753049351961526,0.19770256547341952,1.5731965735392301
112.448,29.753097051455676,0.19770364626901443,1.5732157404385216
112.480,29.75302398808548,0.1977084112054016,1.5732871179458041
112.512,29.7529720130248,0.197706482599167,1.5732671947637211
112.544,29.752943627898983,0.19770430554961885,1.573233271081654
112.576,29.75293399686931,0.197702497639014,1.573199638039575
112.608,29.752971074864575,0.1977010390001856,1.5731709172083213
112.640,29.753015092809708,0.19770106613835017,1.573165408222513
112.672,29.75306277468777,0.1977016979800313,1.5731724662486863
112.704,29.75311309925509,0.19770279623526485,1.5731919359646278
112.736,29.75304186610807,0.19770795590953005,1.5732693288239064
112.768,29.752991127481575,0.19770612504971394,1.573253339149637
112.800,29.752963903194296,0.19770399727146892,1.5732223250920878
112.832,29.75295491316331,0.19770221750476488,1.5731909978079601
112.864,29.752992735935727,0.19770075476856572,1.573163663906424
112.896,29.75303723434597,0.19770076511601195,1.5731588604746398
112.928,29.753085214489634,0.19770135728168953,1.573164754061187
112.960,29.753135744321767,0.1977024145166138,1.573182517584713
112.992,29.753064514267166,0.19770799556708205,1.5732641834833154
113.024,29.75301363053045,0.19770618633209414,1.573250051110045
113.056,29.752986739670686,0.1977040398860757,1.57322015896024
113.088,29.752977550089145,0.19770224072785528,1.5731898797134993
113.120,29.75301547938769,0.19770072811745035,1.5731628203105927
113.152,29.753059975184115,0.19770068308784408,1.5731578255969003
113.184,29.753107889920727,0.19770119993552976,1.5731617666401083
113.216,29.753158362438555,0.19770218570384335,1.5731771579005565
113.248,29.753086917635947,0.19770819760817057,1.573262699499738
113.280,29.753035738947396,0.19770638411548627,1.5732498639424553
113.312,29.75300727990496,0.1977042021158959,1.573220897084391
113.344,29.752998174973133,0.19770230537386707,1.5731900908598084
113.376,29.753036536035108,0.19770072862210658,1.5731629382260226
113.408,29.753081288664156,0.19770062111116837,1.573157630261874
113.440,29.75312936101657,0.1977010542444815,1.573159481678154
113.472,29.753179952379988,0.19770196193467976,1.5731723853915376
113.504,29.753108415340552,0.19770841635722658,1.5732618225414847
113.536,29.753057045411868,0.1977065963918097,1.5732502103595019
113.568,29.753028842943817,0.19770436912137598,1.573221759112908
113.600,29.753019557626917,0.19770243432087511,1.5731915973041646
113.632,29.753025420561784,0.19770088082813247,1.5731619375995325
113.664,29.753075478813233,0.19769967888678067,1.5731367291379532
113.696,29.75312981564282,0.197699990511816,1.5731353278449722
113.728,29.753185446776712,0.19770090935169896,1.5731480536179483
113.760,29.753117459112747,0.19770786662807585,1.5732445233267103
113.792,29.75306860682663,0.19770643938831423,1.5732390581696631
113.824,29.75304237347677,0.19770423824435587,1.5732135427254383
113.856,29.7530348266341,0.1977022921723634,1.5731853209717532
113.888,29.75304193404281,0.19770071264177477,1.5731569906183498
113.920,29.75309325564456,0.19769946325941928,1.573132298732614
113.952,29.753148559950485,0.19769971880995657,1.5731306045176674
113.984,29.753204946917126,0.19770057195994067,1.5731414148147973
114.016,29.753261757434053,0.19770186913473095,1.5731644135388059
114.048,29.753198230478272,0.19770607821657166,1.5732334415549287
114.080,29.753152984727127,0.19770448524568304,1.5732172896929288
114.112,29.753129473924716,0.19770261601053102,1.5731870616485044
114.144,29.753122888028106,0.19770106062158677,1.5731566338369933
114.176,29.7531637548875,0.197699797495225,1.5731304248985853
114.208,29.753210164035337,0.19770005129800408,1.5731282352750748
114.240,29.753259017001753,0.1977008649675162,1.5731378939878862
114.272,29.753309540879982,0.19770209825184798,1.5731594208341282
114.304,29.753241594718048,0.19770648641612404,1.5732296138132984
